Book,Date,Weeks,Rank
Greenlights,11/15/2020,2,1
Group,11/15/2020,1,4
How to be an Antiracist,11/15/2020,26,15
Is this anything,11/15/2020,4,14
Killing Crazy Horse,11/15/2020,8,5
My Own Words,11/15/2020,5,11
Obama,11/15/2020,18,9
One Vote Away,11/15/2020,5,7
Rage,11/15/2020,7,13
Shade,11/15/2020,11,6
The Body Keeps The Score,11/15/2020,18,10
Untamed,11/15/2020,34,2
A Republic Under Assault,11/8/2020,1,14
Accidentally Wes Anderson,11/8/2020,1,6
Battle of Brothers,11/8/2020,1,10
Blackout,11/8/2020,6,11
Caste,11/8/2020,12,3
Do You Feel Like I Do?,11/8/2020,1,15
Greenlights,11/8/2020,1,1
How to be an Antiracist,11/8/2020,25,12
Is this anything,11/8/2020,3,8
Killing Crazy Horse,11/8/2020,7,4
One Vote Away,11/8/2020,4,5
Rage,11/8/2020,6,9
Shade,11/8/2020,10,7
Ten Lessons for a Post Pandemic World,11/8/2020,3,13
Untamed,11/8/2020,33,2
American Crisis,11/1/2020,1,7
Blackout,11/1/2020,5,5
Caste,11/1/2020,11,1
Disloyal,11/1/2020,5,14
How to be an Antiracist,11/1/2020,24,12
Humans,11/1/2020,2,9
Is this anything,11/1/2020,2,2
Killing Crazy Horse,11/1/2020,6,4
One Vote Away,11/1/2020,3,11
Rage,11/1/2020,5,6
Ten Lessons for a Post Pandemic World,11/1/2020,2,8
The Meaning of Mariah Carey,11/1/2020,3,13
Trumpty Dumpty Wanted a Crown,11/1/2020,2,15
Untamed,11/1/2020,32,3
White Fragility,11/1/2020,30,10
Blackout,10/25/2020,4,7
Caste,10/25/2020,10,5
Humans,10/25/2020,1,1
Is this anything,10/25/2020,1,2
Killing Crazy Horse,10/25/2020,5,6
Let Love Rule,10/25/2020,1,15
One Vote Away,10/25/2020,2,11
Rage,10/25/2020,4,4
Ten Lessons for a Post Pandemic World,10/25/2020,1,12
The 99% Invisible City,10/25/2020,1,3
The Meaning of Mariah Carey,10/25/2020,2,9
Trust,10/25/2020,1,13
Undaunted,10/25/2020,1,8
Untamed,10/25/2020,31,10
White Fragility,10/25/2020,29,14
Blackout,10/18/2020,3,12
Caste,10/18/2020,9,3
Disloyal,10/18/2020,4,8
How to be an Antiracist,10/18/2020,23,13
Killing Crazy Horse,10/18/2020,4,4
My Own Words,10/18/2020,4,6
One Vote Away,10/18/2020,1,11
Rage,10/18/2020,3,2
The Man Who Ran Washington,10/18/2020,1,14
The Meaning of Mariah Carey,10/18/2020,1,1
Too Much and Never Enough,10/18/2020,11,15
Trumpty Dumpty Wanted a Crown,10/18/2020,1,5
Untamed,10/18/2020,30,7
Where Law Ends,10/18/2020,1,9
White Fragility,10/18/2020,28,10
Battlegrounds,10/11/2020,1,12
Blackout,10/11/2020,2,3
Caste,10/11/2020,8,5
Disloyal,10/11/2020,3,6
Don't Lie to Me,10/11/2020,1,9
God-Level Knowledge Darts,10/11/2020,1,15
How to be an Antiracist,10/11/2020,22,14
Killing Crazy Horse,10/11/2020,3,4
Live Free or Die,10/11/2020,8,10
My Own Words,10/11/2020,3,2
Notorious RBG,10/11/2020,4,8
Rage,10/11/2020,2,1
Speaking for Myself,10/11/2020,3,11
Untamed,10/11/2020,29,7
White Fragility,10/11/2020,27,13
Blackout,10/4/2020,1,2
Caste,10/4/2020,7,5
Compromised,10/4/2020,2,6
Disloyal,10/4/2020,2,3
Everything Beautiful in its Time,10/4/2020,2,9
How to be an Antiracist,10/4/2020,21,13
Killing Crazy Horse,10/4/2020,2,4
Live Free or Die,10/4/2020,7,10
Melania and Me,10/4/2020,3,14
Rage,10/4/2020,1,1
So You Want to Talk About Race,10/4/2020,16,15
Speaking for Myself,10/4/2020,2,8
Too Much and Never Enough,10/4/2020,10,11
Untamed,10/4/2020,28,7
White Fragility,10/4/2020,26,12
Caste,9/27/2020,6,4
Compromised,9/27/2020,1,3
Disloyal,9/27/2020,1,1
Donald Trump v. The United States,9/27/2020,2,15
Eat a Peach,9/27/2020,1,14
Everything Beautiful in its Time,9/27/2020,1,5
Hoax,9/27/2020,3,11
How to be an Antiracist,9/27/2020,20,12
Killing Crazy Horse,9/27/2020,1,2
Live Free or Die,9/27/2020,6,6
Melania and Me,9/27/2020,2,7
Speaking for Myself,9/27/2020,1,8
Too Much and Never Enough,9/27/2020,9,10
Untamed,9/27/2020,27,9
White Fragility,9/27/2020,25,13
Born a Crime,9/20/2020,72,15
Caste,9/20/2020,5,2
Donald Trump v. The United States,9/20/2020,1,3
His Truth is Marching On,9/20/2020,2,10
Hoax,9/20/2020,2,11
How to be an Antiracist,9/20/2020,19,6
I Have Something to Tell You,9/20/2020,1,13
Just Mercy,9/20/2020,40,14
Live Free or Die,9/20/2020,5,8
Melania and Me,9/20/2020,1,1
The Dynasty,9/20/2020,1,12
Too Much and Never Enough,9/20/2020,8,5
Twilight of the Gods,9/20/2020,1,9
Untamed,9/20/2020,26,4
White Fragility,9/20/2020,24,7
Between the World and Me,9/13/2020,70,9
Born a Crime,9/13/2020,71,11
Caste,9/13/2020,4,3
Educated,9/13/2020,125,10
His Truth is Marching On,9/13/2020,1,1
Hoax,9/13/2020,1,2
How to be an Antiracist,9/13/2020,18,8
Live Free or Die,9/13/2020,4,5
So You Want to Talk About Race,9/13/2020,15,13
Splendid and Vile,9/13/2020,26,15
The Warmth of Other Suns,9/13/2020,5,12
Too Much and Never Enough,9/13/2020,7,6
Untamed,9/13/2020,25,4
Vesper Flights,9/13/2020,1,14
White Fragility,9/13/2020,23,7
Becoming,9/6/2020,85,9
Caste,9/6/2020,3,3
Educated,9/6/2020,124,12
Finding Freedom,9/6/2020,2,11
How to be an Antiracist,9/6/2020,17,6
It Was All a Lie,9/6/2020,3,14
Just Mercy,9/6/2020,39,4
Live Free or Die,9/6/2020,3,2
Live in Love,9/6/2020,1,8
So You Want to Talk About Race,9/6/2020,14,15
The Answer is,9/6/2020,3,10
The Warmth of Other Suns,9/6/2020,4,13
Too Much and Never Enough,9/6/2020,6,5
Untamed,9/6/2020,24,1
White Fragility,9/6/2020,22,7
Born a Crime,8/30/2020,70,15
Caste,8/30/2020,2,4
Educated,8/30/2020,123,13
Evil Geniuses,8/30/2020,1,8
Finding Freedom,8/30/2020,1,3
How to be an Antiracist,8/30/2020,16,6
It Was All a Lie,8/30/2020,2,14
Live Free or Die,8/30/2020,2,1
So You Want to Talk About Race,8/30/2020,13,11
Splendid and Vile,8/30/2020,25,12
The Truths We Told,8/30/2020,5,9
The Warmth of Other Suns,8/30/2020,3,10
Too Much and Never Enough,8/30/2020,5,2
Untamed,8/30/2020,23,5
White Fragility,8/30/2020,21,7
Caste,8/23/2020,1,2
Educated,8/23/2020,122,13
How to be an Antiracist,8/23/2020,15,5
How to Destroy America in Three Easy Steps,8/23/2020,3,11
It Was All a Lie,8/23/2020,1,8
Live Free or Die,8/23/2020,1,1
Make Change,8/23/2020,1,6
So You Want to Talk About Race,8/23/2020,12,12
Splendid and Vile,8/23/2020,24,14
The New Jim Crow,8/23/2020,8,10
The Warmth of Other Suns,8/23/2020,2,15
Too Much and Never Enough,8/23/2020,4,3
True Crimes and Misdemeanors,8/23/2020,1,9
Untamed,8/23/2020,22,7
White Fragility,8/23/2020,20,4
Too Much and Never Enough,8/16/2020,3,1
Too Much and Never Enough,8/9/2020,2,1
Too Much and Never Enough,8/2/2020,1,1
On the House,5/2/2021,1,1
Empire of Pain,5/2/2021,1,2
The Code Breaker,5/2/2021,6,3
Broken Horses,5/2/2021,2,4
The Body Keeps The Score,5/2/2021,34,5
Greenlights,5/2/2021,26,6
Caste,5/2/2021,37,7
Broken,5/2/2021,2,8
Untamed,5/2/2021,58,9
Beautiful Things,5/2/2021,2,10
Finding Freedom,5/2/2021,2,11
Think Again,5/2/2021,10,12
The God Equation,5/2/2021,2,13
Becoming,5/2/2021,104,14
The Body,5/2/2021,17,15
"Out of Many, One",5/9/2021,1,1
Crying in H Mart,5/9/2021,1,2
The Body Keeps The Score,5/9/2021,35,3
On the House,5/9/2021,2,4
Greenlights,5/9/2021,27,5
Caste,5/9/2021,38,6
The Code Breaker,5/9/2021,7,7
Blood and Treasure,5/9/2021,1,8
Think Again,5/9/2021,11,9
Broken Horses,5/9/2021,3,10
Untamed,5/9/2021,59,11
Madam Speaker,5/9/2021,1,12
Empire of Pain,5/9/2021,2,13
Broken,5/9/2021,3,14
"Goodbye, Again",5/9/2021,1,15
What Happened to You?,5/16/2021,1,1
The Bomber Mafia,5/16/2021,1,2
You are Your Best Thing,5/16/2021,1,3
How Y'all Doing?,5/16/2021,1,4
The Body Keeps The Score,5/16/2021,36,5
"Out of Many, One",5/16/2021,2,6
Caste,5/16/2021,39,7
Nomadland,5/16/2021,6,8
Untamed,5/16/2021,60,9
